,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業種別商業販売額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,      Commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　　　 （単位：10億円）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(billion yen),,
,  商  業  計,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,　参 考 ,  参 考 １,　参 考 ２,,
,, 卸 売 業 計,,,,,,,,,,,,,,,,, 小 売 業 計,,,,,,,,,,(医薬品化粧品小売業、その他小売業の計),(自動車小売業､機械器具小売業、燃料小売業、、医薬品化粧品小売業、その他小売業の計),(燃料小売業、医薬品化粧品小売業、その他小売業の計),   Year,
,,,  各種商品, 繊  維  品,衣服･身の回り品,農畜産物･水産物,食料･飲料,  建築材料,  化学製品,鉱物･金属材料,機 械 器 具 卸 売 業,,　,　,　,家具･建具･じゅう器,医薬品･化粧品,  その他の,,  各種商品,織物･衣服･身の回り品,  飲食料品,  自 動 車,  機械器具,  燃    料,医薬品・化粧品,  そ の 他,　無 店 舗,,,,   and,
 　年  月,　,　,  卸 売 業, 卸  売  業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,　,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,  卸 売 業,  卸 売 業,  卸 売 業,　,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,,,,  Month,
,Total,Wholesale,"General
Merchandise","
Textiles","Apparel
  　     7,"41,564 ","33,415 ","5,612 ","1,058 ",994 ,"4,253 ","2,980 ","1,830 ","1,360 ","5,049 ","5,908 ",…,…,…,…,640 ,999 ,"2,733 ","8,149 ","1,212 ",896 ,"2,486 ",786 ,345 ,…,…,…,…,…,"3,555 ","2,424 ",7月.,
  　     8,"39,529 ","32,012 ","5,659 ","1,035 ","1,194 ","4,298 ","2,839 ","1,752 ","1,252 ","4,735 ","5,207 ",…,…,…,…,595 ,956 ,"2,490 ","7,517 ",966 ,705 ,"2,566 ",586 ,311 ,…,…,…,…,…,"3,279 ","2,383 ",8月.,
  　     9,"47,841 ","40,318 ","10,991 ","1,175 ","1,530 ","4,579 ","2,881 ","1,954 ","1,355 ","5,166 ","6,197 ",…,…,…,…,685 ,976 ,"2,828 ","7,523 ",918 ,817 ,"2,410 ",695 ,313 ,…,…,…,…,…,"3,378 ","2,370 ",9月.,
  　    10,"41,166 ","33,202 ","4,197 ","1,050 ","1,563 ","5,030 ","2,718 ","1,961 ","1,365 ","4,955 ","5,776 ",…,…,…,…,732 ,993 ,"2,863 ","7,963 ","1,065 ",947 ,"2,457 ",700 ,294 ,…,…,…,…,…,"3,494 ","2,499 ",10月.,
  　    11,"43,470 ","35,326 ","5,671 ","1,031 ","1,426 ","5,043 ","2,900 ","1,956 ","1,368 ","5,274 ","6,011 ",…,…,…,…,759 ,988 ,"2,897 ","8,144 ","1,068 ",948 ,"2,430 ",771 ,332 ,…,…,…,…,…,"3,699 ","2,596 ",11月.,
      　12,"48,704 ","38,307 ","6,313 ","1,061 ","1,458 ","5,635 ","3,884 ","1,979 ","1,358 ","5,548 ","6,179 ",…,…,…,…,750 ,"1,134 ","3,007 ","10,397 ","1,779 ","1,232 ","3,050 ",808 ,433 ,…,…,…,…,…,"4,335 ","3,095 ",12月.,
  1983年1月,"36,856 ","29,454 ","5,093 ",964 ,979 ,"3,996 ","2,184 ","1,504 ","1,234 ","4,949 ","4,740 ",…,…,…,…,510 ,809 ,"2,491 ","7,401 ",986 ,885 ,"2,244 ",612 ,323 ,…,…,…,…,…,"3,287 ","2,352 ",1月.,1983
　　　　 2,"38,238 ","31,141 ","5,427 ",995 ,"1,208 ","4,024 ","2,410 ","1,576 ","1,224 ","4,859 ","5,315 ",…,…,…,…,581 ,938 ,"2,583 ","7,096 ",861 ,764 ,"2,172 ",704 ,288 ,…,…,…,…,…,"3,299 ","2,308 ",2月.,
         3,"50,142 ","41,671 ","11,503 ","1,140 ","1,332 ","4,740 ","2,866 ","1,723 ","1,385 ","5,313 ","6,792 ",…,…,…,…,766 ,990 ,"3,120 ","8,471 ","1,084 ",931 ,"2,465 ",992 ,310 ,…,…,…,…,…,"3,991 ","2,689 ",3月.,
  　     4,"39,866 ","31,536 ","3,679 ","1,007 ","1,340 ","4,437 ","2,992 ","1,602 ","1,353 ","4,486 ","5,985 ",…,…,…,…,736 ,"1,025 ","2,896 ","8,330 ","1,051 ",923 ,"2,566 ",794 ,336 ,…,…,…,…,…,"3,789 ","2,659 ",4月.,
  　     5,"40,492 ","32,502 ","5,252 ","1,013 ","1,213 ","4,459 ","2,955 ","1,623 ","1,319 ","4,316 ","5,926 ",…,…,…,…,673 ,"1,003 ","2,750 ","7,991 ","1,031 ",871 ,"2,555 ",717 ,306 ,…,…,…,…,…,"3,534 ","2,511 ",May,
  　     6,"40,758 ","32,928 ","5,732 ","1,059 ","1,095 ","4,289 ","3,007 ","1,671 ","1,364 ","4,395 ","5,935 ",…,…,…,…,663 ,"1,030 ","2,686 ","7,831 ",992 ,834 ,"2,462 ",755 ,334 ,…,…,…,…,…,"3,542 ","2,452 ",6月.,
  　     7,"40,661 ","32,097 ","5,242 ","1,059 ","1,007 ","4,193 ","2,998 ","1,779 ","1,304 ","4,430 ","5,953 ",…,…,…,…,627 ,980 ,"2,524 ","8,564 ","1,261 ",871 ,"2,603 ",938 ,371 ,…,…,…,…,…,"3,829 ","2,521 ",7月.,
  　     8,"40,196 ","32,251 ","5,623 ","1,046 ","1,192 ","4,376 ","3,060 ","1,628 ","1,257 ","4,632 ","5,523 ",…,…,…,…,559 ,966 ,"2,389 ","7,945 ",991 ,740 ,"2,695 ",653 ,406 ,…,…,…,…,…,"3,519 ","2,460 ",8月.,
  　     9,"47,796 ","40,061 ","11,228 ","1,147 ","1,395 ","4,460 ","3,161 ","1,715 ","1,386 ","4,835 ","6,410 ",…,…,…,…,713 ,"1,001 ","2,611 ","7,735 ",929 ,783 ,"2,473 ",784 ,330 ,…,…,…,…,…,"3,552 ","2,438 ",9月.,
  　    10,"40,955 ","32,673 ","4,266 ","1,088 ","1,428 ","4,876 ","2,930 ","1,782 ","1,314 ","4,554 ","6,096 ",…,…,…,…,707 ,980 ,"2,651 ","8,282 ","1,107 ",975 ,"2,544 ",782 ,325 ,…,…,…,…,…,"3,656 ","2,549 ",10月.,
  　    11,"42,693 ","34,336 ","5,467 ","1,071 ","1,362 ","5,046 ","2,903 ","1,765 ","1,353 ","4,749 ","6,303 ",…,…,…,…,702 ,973 ,"2,641 ","8,357 ","1,102 ",946 ,"2,458 ",878 ,377 ,…,…,…,…,…,"3,850 ","2,595 ",11月.,
      　12,"48,409 ","37,841 ","6,540 ","1,117 ","1,449 ","5,472 ","3,718 ","1,807 ","1,420 ","5,328 ","6,317 ",…,…,…,…,727 ,"1,124 ","2,822 ","10,569 ","1,826 ","1,236 ","3,135 ",845 ,478 ,…,…,…,…,…,"4,372 ","3,049 ",12月.,
  1984年1月,"36,736 ","29,320 ","5,395 ",986 ,956 ,"3,795 ","2,225 ","1,406 ","1,206 ","4,696 ","5,201 ",…,…,…,…,502 ,780 ,"2,172 ","7,416 ","1,028 ",838 ,"2,272 ",605 ,359 ,…,…,…,…,…,"3,277 ","2,313 ",1月.,1984
